[Fri Mar 16 17:14:32.056463 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP   4. Illuminate\\Routing\\Pipeline->then() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056476 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP   5. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056491 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP   6. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056504 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP   7. Barryvdh\\Cors\\HandlePreflight->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056516 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP   8. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/barryvdh/laravel-cors/src/HandlePreflight.php:35, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056527 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP   9. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056563 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\CheckForMaintenanceMode->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056576 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  11. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:46, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056589 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  12. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056601 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  13. Illuminate\\Foundation\\Http\\Middleware\\ValidatePostSize->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
